referencia,valor,modo_venda,kg
1991-03,0.0006,atacado,50
1991-04,0.0006,atacado,50
1991-05,0.0007,atacado,50
1991-06,0.0007,atacado,50
1991-07,0.0008,atacado,50
1991-08,0.0009,atacado,50
1991-09,0.0009,atacado,50
1991-10,0.0012,atacado,50
1991-11,0.0018,atacado,50
1991-12,0.0021,atacado,50
1992-01,0.0025,atacado,50
1992-02,0.0032,atacado,50
1992-03,0.004,atacado,50
1992-04,0.0059,atacado,50
1992-05,0.0072,atacado,50
1992-06,0.0085,atacado,50
1992-07,0.0099,atacado,50
1992-08,0.0125,atacado,50
1992-09,0.0159,atacado,50
1992-10,0.0192,atacado,50
1992-11,0.0232,atacado,50
1992-12,0.0295,atacado,50
1993-01,0.0367,atacado,50
1993-02,0.0451,atacado,50
1993-03,0.0583,atacado,50
1993-04,0.0763,atacado,50
1993-05,0.0866,atacado,50
1993-06,0.1151,atacado,50
1993-07,0.1542,atacado,50
1993-08,0.1915,atacado,50
1993-09,0.2531,atacado,50
1993-10,0.3492,atacado,50
1993-11,0.4887,atacado,50
1993-12,0.6645,atacado,50
1994-01,0.9456,atacado,50
1994-02,1.3368,atacado,50
1994-03,1.8672,atacado,50
1994-04,2.8154,atacado,50
1994-05,3.9946,atacado,50
1994-06,5.993,atacado,50
1994-07,7,atacado,50
1994-08,6.95,atacado,50
1994-09,6.88,atacado,50
1994-10,6.895,atacado,50
1994-11,6.78,atacado,50
1994-12,6.89,atacado,50
1995-01,6.835,atacado,50
1995-02,6.69,atacado,50
1995-03,6.605,atacado,50
1995-04,6.54,atacado,50
1995-05,6.17,atacado,50
1995-06,6.03,atacado,50
1995-07,6.34,atacado,50
1995-08,7.22,atacado,50
1995-09,7.945,atacado,50
1995-10,8.075,atacado,50
1995-11,8.705,atacado,50
1995-12,8.77,atacado,50
1996-01,9.37,atacado,50
1996-02,9.455,atacado,50
1996-03,9.525,atacado,50
1996-04,9.945,atacado,50
1996-05,10.34,atacado,50
1996-06,11.33,atacado,50
1996-07,12.265,atacado,50
1996-08,11.76,atacado,50
1996-09,11.435,atacado,50
1996-10,10.935,atacado,50
1996-11,9.89,atacado,50
1996-12,9.035,atacado,50
1997-01,8.645,atacado,50
1997-02,8.44,atacado,50
1997-03,8.445,atacado,50
1997-04,7.665,atacado,50
1997-05,7.82,atacado,50
1997-06,7.85,atacado,50
1997-07,8.125,atacado,50
1997-08,8.075,atacado,50
1997-09,7.885,atacado,50
1997-10,7.885,atacado,50
1997-11,7.67,atacado,50
1997-12,7.66,atacado,50
1998-01,7.53,atacado,50
1998-02,7.46,atacado,50
1998-03,7.505,atacado,50
1998-04,7.48,atacado,50
1998-05,7.43,atacado,50
1998-06,7.595,atacado,50
1998-07,7.585,atacado,50
1998-08,8.05,atacado,50
1998-09,8.13,atacado,50
1998-10,8.185,atacado,50
1998-11,8.17,atacado,50
1998-12,8.155,atacado,50
1999-01,8.46,atacado,50
1999-02,9.37,atacado,50
1999-03,10.695,atacado,50
1999-04,10.775,atacado,50
1999-05,10.19,atacado,50
1999-06,10.52,atacado,50
1999-07,10.41,atacado,50
1999-08,10.35,atacado,50
1999-09,10.27,atacado,50
1999-10,10.08,atacado,50
1999-11,11.17,atacado,50
1999-12,11.115,atacado,50
2000-01,11.725,atacado,50
2000-02,11.14,atacado,50
2000-03,11.11,atacado,50
2000-04,11.265,atacado,50
2000-05,10.84,atacado,50
2000-06,10.765,atacado,50
2000-07,11.69,atacado,50
2000-08,11.4,atacado,50
2000-09,10.85,atacado,50
2000-10,10.59,atacado,50
2000-11,10.755,atacado,50
2000-12,10.48,atacado,50
2001-01,10.94,atacado,50
2001-02,10.77,atacado,50
2001-03,10.79,atacado,50
2001-04,10.63,atacado,50
2001-05,11.905,atacado,50
2001-06,12.375,atacado,50
2001-07,14.17,atacado,50
2001-08,14.755,atacado,50
2001-09,13.065,atacado,50
2001-10,13.34,atacado,50
2001-11,16.135,atacado,50
2001-12,15.655,atacado,50
2002-01,16.045,atacado,50
2002-02,15.43,atacado,50
2002-03,15.405,atacado,50
2002-04,14.83,atacado,50
2002-05,13.6,atacado,50
2002-06,16.13,atacado,50
2002-07,17.09,atacado,50
2002-08,18.415,atacado,50
2002-09,19.155,atacado,50
2002-10,22.355,atacado,50
2002-11,27.81,atacado,50
2002-12,26.13,atacado,50
2003-01,29.06,atacado,50
2003-02,26.735,atacado,50
2003-03,25.465,atacado,50
2003-04,24.64,atacado,50
2003-05,23.54,atacado,50
2003-06,23.59,atacado,50
2003-07,23.605,atacado,50
2003-08,23.52,atacado,50
2003-09,23.38,atacado,50
2003-10,22.935,atacado,50
2003-11,21.6665,atacado,50
2003-12,18.5876,atacado,50
2004-01,19.0376,atacado,50
2004-02,21.1084,atacado,50
2004-03,22.779,atacado,50
2004-04,21.5967,atacado,50
2004-05,23.5286,atacado,50
2004-06,23.3243,atacado,50
2004-07,23.1521,atacado,50
2004-08,21.1539,atacado,50
2004-09,22.7582,atacado,50
2004-10,20.9263,atacado,50
2004-11,21.0432,atacado,50
2004-12,20.4884,atacado,50
2005-01,19.8788,atacado,50
2005-02,17.3881,atacado,50
2005-03,17.4892,atacado,50
2005-04,20.1515,atacado,50
2005-05,21.9994,atacado,50
2005-06,21.1775,atacado,50
2005-07,21.2073,atacado,50
2005-08,20.0666,atacado,50
2005-09,16.2406,atacado,50
2005-10,19.0444,atacado,50
2005-11,20.5446,atacado,50
2005-12,20.7176,atacado,50
2006-01,20.7514,atacado,50
2006-02,20.6355,atacado,50
2006-03,19.694,atacado,50
2006-04,18.9167,atacado,50
2006-05,19.9041,atacado,50
2006-06,21.3497,atacado,50
2006-07,22.3234,atacado,50
2006-08,21.4701,atacado,50
2006-09,21.0839,atacado,50
2006-10,23.0302,atacado,50
2006-11,26.8679,atacado,50
2006-12,26.207,atacado,50
2007-01,25.9137,atacado,50
2007-02,25.1708,atacado,50
2007-03,24.1749,atacado,50
2007-04,23.9481,atacado,50
2007-05,25.0361,atacado,50
2007-06,25.7471,atacado,50
2007-07,26.3304,atacado,50
2007-08,28.536,atacado,50
2007-09,30.0717,atacado,50
2007-10,31.118,atacado,50
2007-11,31.4505,atacado,50
2007-12,27.991,atacado,50
2008-01,29.263,atacado,50
2008-02,32.0604,atacado,50
2008-03,36.8359,atacado,50
2008-04,40.2801,atacado,50
2008-05,42.0166,atacado,50
2008-06,38.48,atacado,50
2008-07,35.5835,atacado,50
2008-08,32.6568,atacado,50
2008-09,28.5582,atacado,50
2008-10,27.4944,atacado,50
2008-11,29.5077,atacado,50
2008-12,25.4231,atacado,50
2009-01,26.9337,atacado,50
2009-02,27.8672,atacado,50
2009-03,27.0131,atacado,50
2009-04,27.0903,atacado,50
2009-05,26.5921,atacado,50
2009-06,25.9754,atacado,50
2009-07,26.5644,atacado,50
2009-08,25.6855,atacado,50
2009-09,25.8009,atacado,50
2009-10,25.8046,atacado,50
2009-11,25.5326,atacado,50
2009-12,22.0207,atacado,50
2010-01,27.13,atacado,50
2010-02,26.17,atacado,50
2010-03,25.7,atacado,50
2010-04,22.855,atacado,50
2010-05,22.05,atacado,50
2010-06,22.365,atacado,50
2010-07,23.155,atacado,50
2010-08,23.48,atacado,50
2010-09,26.36,atacado,50
2010-10,29.1,atacado,50
2010-11,28.285,atacado,50
2010-12,27.88,atacado,50
2011-01,27.395,atacado,50
2011-02,25.255,atacado,50
2011-03,25.205,atacado,50
2011-04,25.96,atacado,50
2011-05,25.925,atacado,50
2011-06,25.155,atacado,50
2011-07,24.72,atacado,50
2011-08,24.05,atacado,50
2011-09,24.035,atacado,50
2011-10,25.255,atacado,50
2011-11,24.9,atacado,50
2011-12,24.76,atacado,50
2012-01,22.57,atacado,50
2012-02,23.775,atacado,50
2012-03,24.25,atacado,50
2012-04,23.76,atacado,50
2012-05,24.1495,atacado,50
2012-06,24.3366,atacado,50
2012-07,28.4789,atacado,50
2012-08,29.5929,atacado,50
2012-09,32.4705,atacado,50
2012-10,33.7681,atacado,50
2012-11,32.9376,atacado,50
2012-12,33.7577,atacado,50
2013-01,34.332,atacado,50
2013-02,37.4653,atacado,50
2013-03,37.9446,atacado,50
2013-04,37.2081,atacado,50
2013-05,35.1006,atacado,50
2013-06,36.5716,atacado,50
2013-07,41.1001,atacado,50
2013-08,43.6755,atacado,50
2013-09,47.4523,atacado,50
2013-10,48.0597,atacado,50
2013-11,47.6481,atacado,50
2013-12,46.6466,atacado,50
2014-01,46.3776,atacado,50
2014-02,45.1692,atacado,50
2014-03,43.3796,atacado,50
2014-04,46.2151,atacado,50
2014-05,45.5228,atacado,50
2014-06,45.5604,atacado,50
2014-07,45.3565,atacado,50
2014-08,44.2386,atacado,50
2014-09,43.9137,atacado,50
2014-10,40.6292,atacado,50
2014-11,28.6804,atacado,50
2014-12,30.0831,atacado,50
2015-01,30.0416,atacado,50
2015-02,29.6592,atacado,50
2015-03,31.1231,atacado,50
2015-04,37.3947,atacado,50
2015-05,34.3133,atacado,50
2015-06,36.2686,atacado,50
2015-07,35.3025,atacado,50
2015-08,33.137,atacado,50
2015-09,35.7058,atacado,50
2015-10,34.9823,atacado,50
2015-11,33.2389,atacado,50
2015-12,35.4211,atacado,50
2016-01,37.1261,atacado,50
2016-02,36.3906,atacado,50
2016-03,68.6737,atacado,50
2016-04,76.1353,atacado,50
2016-05,77.5755,atacado,50
2016-06,79.8368,atacado,50
2016-07,77.6255,atacado,50
2016-08,82.9313,atacado,50
2016-09,83.7961,atacado,50
2016-10,80.9798,atacado,50
2016-11,79.2396,atacado,50
2016-12,78.7153,atacado,50
2017-01,74.5958,atacado,50
2017-02,71.0738,atacado,50
2017-03,74.2933,atacado,50
2017-04,73.4223,atacado,50
2017-05,75.947,atacado,50
2017-06,76.9167,atacado,50
2017-07,77.5975,atacado,50
2017-08,73.7547,atacado,50
2017-09,66.3426,atacado,50
2017-10,63.9247,atacado,50
2017-11,66.8602,atacado,50
2017-12,69.654,atacado,50
2018-01,61.9836,atacado,50
2018-02,61.0833,atacado,50
2018-03,65.0918,atacado,50
2018-04,68.8345,atacado,50
2018-05,75.0587,atacado,50
2018-06,87.2735,atacado,50
2018-07,91.4862,atacado,50
2018-08,82.1849,atacado,50
2018-09,81.626,atacado,50
2018-10,83.7466,atacado,50
2018-11,83.2364,atacado,50
2018-12,80.4483,atacado,50
2019-01,87.2019,atacado,50
2019-02,90.5657,atacado,50
2019-03,87.536,atacado,50
2019-04,85.6852,atacado,50
2019-05,84.7892,atacado,50
2019-06,94.4196,atacado,50
2019-07,87.9014,atacado,50
2019-08,88.5002,atacado,50
2019-09,86.504,atacado,50
2019-10,86.9919,atacado,50
2019-11,82.9956,atacado,50
2019-12,87.3023,atacado,50
2020-01,87.6671,atacado,50
2020-02,97.0276,atacado,50
2020-03,98.9096,atacado,50
2020-04,100.7633,atacado,50
2020-05,102.3453,atacado,50
2020-06,109.3226,atacado,50
2020-07,110.8089,atacado,50
2020-08,113.2351,atacado,50
2020-09,113.3723,atacado,50
2020-10,115.3179,atacado,50
2020-11,118.3001,atacado,50
2020-12,118.8828,atacado,50
2021-01,111.4513,atacado,50
2021-02,113.6594,atacado,50
2021-03,118.1044,atacado,50
2021-04,119.9862,atacado,50
2021-05,123.5448,atacado,50
2021-06,123.1689,atacado,50
2021-07,119.8739,atacado,50
2021-08,121.6266,atacado,50
2021-09,123.0473,atacado,50
2021-10,124.591,atacado,50
2021-11,125.8274,atacado,50
2021-12,131.6919,atacado,50
2022-01,132.2315,atacado,50
2022-02,132.9,atacado,50
2022-03,142.37,atacado,50
2022-04,155.87,atacado,50
2022-05,165.31,atacado,50
2022-06,168.69,atacado,50
2022-07,171.3037,atacado,50
2022-08,172.8122,atacado,50
2022-09,174.08,atacado,50
2022-10,172.02,atacado,50
2022-11,164.1254,atacado,50
2022-12,168.0708,atacado,50
2023-01,169.52,atacado,50
2023-02,159.46,atacado,50
2023-03,162.08,atacado,50
2023-04,160.36,atacado,50
2023-05,154.7802,atacado,50
2023-06,146.1318,atacado,50
2023-07,71.2844,atacado,50
2023-08,72.0803,atacado,50
2023-09,73.3404,atacado,50
2023-10,69.2626,atacado,50
2023-11,67.6972,atacado,50
2023-12,69.3344,atacado,50
.68,atacado,50
2024-03,66.2773,atacado,50
2024-04,65.8119,atacado,50
2024-05,60.9371,atacado,50
2024-06,67.854,atacado,50
2024-07,70.8646,atacado,50
2024-08,74.4912,atacado,50
2024-09,73.6645,atacado,50
2024-10,74.1351,atacado,50
2024-11,73.2716,atacado,50
